score,grade,name,repo,categories,stars,last_push,mcp,python,cli_api,pip
93,AI-Native,kimimgo/viznoir,kimimgo/viznoir,MCP Servers|Visualization & Post-processing,17,2026-09-07,True,True,False,True
95,AI-Native,llnl/paraview_mcp,llnl/paraview_mcp,MCP Servers,63,2026-04-22,True,True,False,True
48,Scriptable,webworn/openfoam-mcp-server,webworn/openfoam-mcp-server,MCP Servers,116,2026-01-18,True,False,False,False
23,Experimental,OpenFOAM/OpenFOAM-dev,OpenFOAM/OpenFOAM-dev,CFD,2225,2026-09-07,False,False,False,False
48,Scriptable,su2code/SU2,su2code/SU2,CFD,1790,2026-09-07,False,True,False,False
22,Experimental,LLNL/Nek5000,Nek5000/Nek5000,CFD,487,2026-08-13,False,False,False,False
22,Experimental,Nek5000/nekRS,Nek5000/nekRS,CFD,419,2026-05-24,False,False,False,False
47,Scriptable,precice/precice,precice/precice,CFD,969,2026-09-01,False,True,False,False
24,Experimental,ProjectPhysX/FluidX3D,ProjectPhysX/FluidX3D,CFD,5261,2026-09-05,False,False,False,False
62,Agent-Ready,PyFR/PyFR,PyFR/PyFR,CFD,573,2026-09-03,False,True,False,True
0,Experimental,CalculiX,,FEA,,,False,False,False,False
23,Experimental,dealii/dealii,dealii/dealii,FEA,1722,2026-09-04,False,False,False,False
23,Experimental,ElmerCSC/elmerfem,ElmerCSC/elmerfem,FEA,1696,2026-09-07,False,False,False,False
48,Scriptable,FEniCS/dolfinx,FEniCS/dolfinx,FEA,1191,2026-09-05,False,True,False,False
62,Agent-Ready,firedrakeproject/firedrake,firedrakeproject/firedrake,FEA,672,2026-09-07,False,True,False,True
22,Experimental,FreeFem/FreeFem-sources,FreeFem/FreeFem-sources,FEA,944,2026-09-07,False,False,False,False
63,Agent-Ready,idaholab/moose,idaholab/moose,FEA,2343,2026-09-07,False,True,False,True
63,Agent-Ready,KratosMultiphysics/Kratos,KratosMultiphysics/Kratos,FEA,1358,2026-09-07,False,True,False,True
23,Experimental,mfem/mfem,mfem/mfem,FEA,2231,2026-09-07,False,False,False,False
22,Experimental,OpenSees/OpenSees,OpenSees/OpenSees,FEA,811,2026-08-14,False,False,False,False
62,Agent-Ready,sfepy/sfepy,sfepy/sfepy,FEA,837,2026-09-03,False,True,False,True
7,Experimental,DualSPHysics/DualSPHysics,DualSPHysics/DualSPHysics,SPH,747,2025-04-16,False,False,False,False
23,Experimental,InteractiveComputerGraphics/SPlisHSPlasH,InteractiveComputerGraphics/SPlisHSPlasH,SPH,1888,2026-09-01,False,False,False,False
62,Agent-Ready,pypr/pysph,pypr/pysph,SPH,544,2026-08-23,False,True,False,True
21,Experimental,CFDEMproject/LIGGGHTS-PUBLIC,CFDEMproject/LIGGGHTS-PUBLIC,DEM,336,2026-05-18,False,False,False,False
64,Agent-Ready,lammps/lammps,lammps/lammps,DEM,3047,2026-09-05,False,True,False,True
0,Experimental,MercuryDPM,,DEM,,,False,False,False,False
45,Scriptable,SudoDEM/SudoDEM,SudoDEM/SudoDEM,DEM,97,2026-03-27,False,True,False,False
40,Scriptable,Yade,,DEM,,,False,True,False,True
61,Agent-Ready,fury-gl/fury,fury-gl/fury,Visualization & Post-processing,298,2026-09-07,False,True,False,True
55,Agent-Ready,InsightSoftwareConsortium/itkwidgets,InsightSoftwareConsortium/itkwidgets,Visualization & Post-processing,624,2026-03-10,False,True,False,True
48,Scriptable,Kitware/ParaView,Kitware/ParaView,Visualization & Post-processing,1691,2026-09-07,False,True,False,False
62,Agent-Ready,Kitware/trame,Kitware/trame,Visualization & Post-processing,697,2026-08-28,False,True,False,True
21,Experimental,Kitware/VolView,Kitware/VolView,Visualization & Post-processing,300,2026-09-05,False,False,False,False
64,Agent-Ready,Kitware/VTK,Kitware/VTK,Visualization & Post-processing,3206,2026-09-07,False,True,False,True
23,Experimental,Kitware/vtk-js,Kitware/vtk-js,Visualization & Post-processing,1526,2026-09-04,False,False,False,False
63,Agent-Ready,marcomusy/vedo,marcomusy/vedo,Visualization & Post-processing,2267,2026-08-04,False,True,False,True
64,Agent-Ready,napari/napari,napari/napari,Visualization & Post-processing,2757,2026-09-07,False,True,False,True
63,Agent-Ready,nmwsharp/polyscope,nmwsharp/polyscope,Visualization & Post-processing,2202,2026-09-06,False,True,False,True
50,Agent-Ready,plotly/plotly.py,plotly/plotly.py,Visualization & Post-processing,18765,2026-09-04,False,True,False,False
64,Agent-Ready,pyvista/pyvista,pyvista/pyvista,Visualization & Post-processing|Data Formats & I/O,3800,2026-09-07,False,True,False,True
65,Agent-Ready,rerun-io/rerun,rerun-io/rerun,Visualization & Post-processing,11406,2026-09-07,False,True,False,True
64,Agent-Ready,CadQuery/cadquery,CadQuery/cadquery,CAD & Geometry,5708,2026-09-05,False,True,False,True
61,Agent-Ready,CadQuery/OCP,CadQuery/OCP,CAD & Geometry,196,2026-09-06,False,True,False,True
50,Agent-Ready,FreeCAD/FreeCAD,FreeCAD/FreeCAD,CAD & Geometry,33336,2026-09-07,False,True,False,False
64,Agent-Ready,gumyr/build123d,gumyr/build123d,CAD & Geometry,3038,2026-09-07,False,True,False,True
64,Agent-Ready,mikedh/trimesh,mikedh/trimesh,CAD & Geometry,3670,2026-09-02,False,True,False,True
47,Scriptable,nschloe/pygmsh,nschloe/pygmsh,CAD & Geometry,969,2023-10-04,False,True,False,True
24,Experimental,Open-Cascade-SAS/OCCT,Open-Cascade-SAS/OCCT,CAD & Geometry,2843,2026-09-05,False,False,False,False
56,Agent-Ready,SolidCode/SolidPython,SolidCode/SolidPython,CAD & Geometry,1265,2025-10-08,False,True,False,True
33,Scriptable,buaacyw/MeshAnything,buaacyw/MeshAnything,Mesh Generation,2306,2025-04-28,False,True,False,False
33,Scriptable,buaacyw/MeshAnythingV2,buaacyw/MeshAnythingV2,Mesh Generation,1019,2025-04-28,False,True,False,False
24,Experimental,CGAL/cgal,CGAL/cgal,Mesh Generation,6035,2026-09-07,False,False,False,False
40,Scriptable,Gmsh,,Mesh Generation,,,False,True,False,True
64,Agent-Ready,libigl/libigl,libigl/libigl,Mesh Generation,5083,2026-09-04,False,True,False,True
22,Experimental,MmgTools/mmg,MmgTools/mmg,Mesh Generation,488,2026-05-11,False,False,False,False
61,Agent-Ready,NGSolve/netgen,NGSolve/netgen,Mesh Generation,391,2026-09-07,False,True,False,True
23,Experimental,nmwsharp/geometry-central,nmwsharp/geometry-central,Mesh Generation,1338,2026-06-13,False,False,False,False
31,Scriptable,OpenMeshLab/MeshXL,OpenMeshLab/MeshXL,Mesh Generation,340,2025-04-04,False,True,False,False
48,Scriptable,PyMesh/PyMesh,PyMesh/PyMesh,Mesh Generation,2044,2024-08-08,False,True,False,True
61,Agent-Ready,pyvista/tetgen,pyvista/tetgen,Mesh Generation,311,2026-09-01,False,True,False,True
22,Experimental,wildmeshing/fTetWild,wildmeshing/fTetWild,Mesh Generation,600,2026-05-05,False,False,False,False
62,Agent-Ready,Autodesk/XLB,Autodesk/XLB,Differentiable Simulation,504,2026-05-29,False,True,False,True
64,Agent-Ready,google/brax,google/brax,Differentiable Simulation,3230,2026-08-06,False,True,False,True
63,Agent-Ready,jax-md/jax-md,jax-md/jax-md,Differentiable Simulation,1459,2026-08-18,False,True,False,True
61,Agent-Ready,gbionics/jaxsim,gbionics/jaxsim,Differentiable Simulation,203,2026-09-01,False,True,False,True
65,Agent-Ready,google-deepmind/mujoco,google-deepmind/mujoco,Differentiable Simulation,14969,2026-09-07,False,True,False,True
65,Agent-Ready,NVIDIA/warp,NVIDIA/warp,Differentiable Simulation,7085,2026-09-07,False,True,False,True
50,Agent-Ready,rtqichen/torchdiffeq,rtqichen/torchdiffeq,Differentiable Simulation,6479,2025-04-04,False,True,False,True
65,Agent-Ready,taichi-dev/taichi,taichi-dev/taichi,Differentiable Simulation,28362,2026-07-06,False,True,False,True
47,Scriptable,tumaer/JAXFLUIDS,tumaer/JAXFLUIDS,Differentiable Simulation,637,2026-08-28,False,True,False,False
61,Agent-Ready,csml-rpi/Foam-Agent,csml-rpi/Foam-Agent,AI/ML for Simulation,314,2026-08-14,False,True,True,False
63,Agent-Ready,deepmodeling/deepmd-kit,deepmodeling/deepmd-kit,AI/ML for Simulation,2035,2026-09-07,False,True,False,True
55,Agent-Ready,dynamicslab/pykoopman,dynamicslab/pykoopman,AI/ML for Simulation,450,2026-01-22,False,True,False,True
63,Agent-Ready,dynamicslab/pysindy,dynamicslab/pysindy,AI/ML for Simulation,1897,2026-06-10,False,True,False,True
65,Agent-Ready,google-deepmind/graphcast,google-deepmind/graphcast,AI/ML for Simulation,7642,2026-09-04,False,True,False,True
62,Agent-Ready,google/jax-cfd,google/jax-cfd,AI/ML for Simulation,963,2026-07-08,False,True,False,True
46,Scriptable,Koopman-Laboratory/KoopmanLab,Koopman-Laboratory/KoopmanLab,AI/ML for Simulation,332,2024-10-05,False,True,False,True
64,Agent-Ready,lululxvi/deepxde,lululxvi/deepxde,AI/ML for Simulation|Surrogate Models & PINNs,4412,2026-08-18,False,True,False,True
63,Agent-Ready,microsoft/aurora,microsoft/aurora,AI/ML for Simulation,1014,2026-08-19,False,True,False,True
47,Scriptable,microsoft/ClimaX,microsoft/ClimaX,AI/ML for Simulation,709,2023-09-30,False,True,False,True
63,Agent-Ready,microsoft/mattergen,microsoft/mattergen,AI/ML for Simulation,1814,2026-08-27,False,True,False,True
64,Agent-Ready,NeuralOperator/neuraloperator,NeuralOperator/neuraloperator,AI/ML for Simulation,3867,2026-08-06,False,True,False,True
63,Agent-Ready,NVIDIA/earth2studio,NVIDIA/earth2studio,AI/ML for Simulation,1120,2026-09-04,False,True,False,True
64,Agent-Ready,NVIDIA/physicsnemo,NVIDIA/physicsnemo,AI/ML for Simulation,3226,2026-09-04,False,True,False,True
61,Agent-Ready,Terry-cyx/MetaOpenFOAM,Terry-cyx/MetaOpenFOAM,AI/ML for Simulation,205,2026-04-10,False,True,True,False
63,Agent-Ready,tum-pbs/PhiFlow,tum-pbs/PhiFlow,AI/ML for Simulation,1931,2026-07-16,False,True,False,True
46,Scriptable,camlab-ethz/poseidon,camlab-ethz/poseidon,Surrogate Models & PINNs,196,2025-04-10,False,True,False,True
57,Agent-Ready,mathLab/PINA,mathLab/PINA,Surrogate Models & PINNs,4,2026-07-21,False,True,False,True
45,Scriptable,mathLab/PyDMD,mathLab/PyDMD,Surrogate Models & PINNs,128,2025-03-06,False,True,False,True
62,Agent-Ready,NeuroDiffGym/neurodiffeq,NeuroDiffGym/neurodiffeq,Surrogate Models & PINNs,790,2026-04-22,False,True,False,True
61,Agent-Ready,NVIDIA/physicsnemo-sym,NVIDIA/physicsnemo-sym,Surrogate Models & PINNs,334,2026-04-28,False,True,False,True
40,Scriptable,rezaakb/pinns-torch,rezaakb/pinns-torch,Surrogate Models & PINNs,944,2026-02-08,False,True,False,False
41,Scriptable,sciann/sciann,sciann/sciann,Surrogate Models & PINNs,2,2024-09-26,False,True,False,True
39,Scriptable,thuml/Neural-Solver-Library,thuml/Neural-Solver-Library,Surrogate Models & PINNs,337,2026-03-10,False,True,False,False
64,Agent-Ready,meta-pytorch/botorch,meta-pytorch/botorch,Optimization,3591,2026-09-03,False,True,False,True
61,Agent-Ready,OpenMDAO/dymos,OpenMDAO/dymos,Optimization,298,2026-05-13,False,True,False,True
62,Agent-Ready,OpenMDAO/OpenMDAO,OpenMDAO/OpenMDAO,Optimization,778,2026-08-25,False,True,False,True
64,Agent-Ready,anyoptimization/pymoo,anyoptimization/pymoo,Optimization,2955,2026-07-07,False,True,False,True
30,Scriptable,dl4to/dl4to,dl4to/dl4to,Optimization,145,2024-11-19,False,True,False,False
47,Scriptable,williamhunter/topy,williamhunter/topy,Optimization,575,2022-08-31,False,True,False,True
54,Agent-Ready,mdolab/OpenAeroStruct,mdolab/OpenAeroStruct,Optimization,278,2025-10-06,False,True,False,True
48,Scriptable,nschloe/meshio,nschloe/meshio,Data Formats & I/O,2327,2024-07-23,False,True,False,True
63,Agent-Ready,h5py/h5py,h5py/h5py,Data Formats & I/O,2249,2026-09-02,False,True,False,True
47,Scriptable,Unidata/netcdf4-python,Unidata/netcdf4-python,Data Formats & I/O,835,2026-08-24,False,True,False,False
21,Experimental,CGNS/CGNS,CGNS/CGNS,Data Formats & I/O,270,2026-09-02,False,False,False,False
62,Agent-Ready,divelab/AIRS,divelab/AIRS,Datasets & Benchmarks,793,2026-06-29,False,True,False,True
45,Scriptable,Extrality/AirfRANS,Extrality/AirfRANS,Datasets & Benchmarks,69,2025-01-09,False,True,False,True
47,Scriptable,Mohamedelrefaie/DrivAerNet,Mohamedelrefaie/DrivAerNet,Datasets & Benchmarks,542,2026-05-14,False,True,False,False
62,Agent-Ready,i207M/PINNacle,i207M/PINNacle,Datasets & Benchmarks,450,2026-07-24,False,True,False,True
0,Experimental,NASA TMR,,Datasets & Benchmarks,,,False,False,False,False
63,Agent-Ready,pdebench/PDEBench,pdebench/PDEBench,Datasets & Benchmarks,1193,2026-03-30,False,True,False,True
64,Agent-Ready,PolymathicAI/the_well,PolymathicAI/the_well,Datasets & Benchmarks,4424,2026-07-23,False,True,False,True
34,Scriptable,barbagroup/CFDPython,barbagroup/CFDPython,Learning Resources,4130,2024-03-19,False,True,False,False
